particles,inertia,cognition,social,epoch_stop,solution_found,fitness
40,0.5,1,1,187,[0.99999998 0.99999995],6.823924639678092e-16
40,0.5,1,1,496,[1.00000001 1.00000002],8.933609023235558e-17
40,0.5,1,1,295,[1.00000001 1.00000001],5.467943455368265e-17
40,0.5,1,1,211,[1.00000025 1.00000049],6.347936809237774e-14
40,0.5,1,1,344,[1.00000043 1.00000086],1.85259493064475e-13
40,0.5,1,1,368,[1.00000168 1.00000333],2.867103326542478e-12
40,0.5,1,1,319,[1.00000001 1.00000004],6.173121877257244e-15
40,0.5,1,1,187,[0.99999922 0.99999844],6.073450605644777e-13
40,0.5,1,1,423,[1. 1.],6.377121304990944e-21
40,0.5,1,1,313,[1. 1.],1.0344556751591541e-20
40,0.5,1,1,228,[0.99999977 0.99999954],5.5060574638287205e-14
40,0.5,1,1,362,[0.99999963 0.99999926],1.4096755916062078e-13
40,0.5,1,1,251,[1. 1.],3.0420442522219577e-21
40,0.5,1,1,283,[0.99999998 0.99999997],4.613997454264093e-16
40,0.5,1,1,182,[1.         0.99999998],5.4346307814626736e-14
40,0.5,1,1,327,[1. 1.],2.433655614129452e-26
40,0.5,1,1,213,[1. 1.],3.875709532394733e-18
40,0.5,1,1,288,[1. 1.],4.4121579920730056e-21
40,0.5,1,1,570,[1. 1.],0.0
40,0.5,1,1,211,[0.99999987 0.99999975],1.6070972268608694e-14
40,0.5,1,1,351,[1. 1.],2.0318098690098685e-28
40,0.5,1,1,139,[1. 1.],6.099964756266136e-18
40,0.5,1,1,282,[1.00000038 1.00000076],1.42725811032958e-13
40,0.5,1,1,268,[1. 1.],2.5276211161207375e-21
40,0.5,1,1,300,[1. 1.],4.9765836171076614e-21
40,0.5,1,1,384,[1.00000003 1.00000006],9.43644078382768e-16
40,0.5,1,1,521,[1.00000136 1.00000275],1.9584147564886057e-12
40,0.5,1,1,317,[1. 1.],2.0782150663405912e-20
40,0.5,1,1,420,[1. 1.],0.0
40,0.5,1,1,266,[1. 1.],9.265417850853665e-26
40,0.5,1,1,808,[1. 1.],0.0
40,0.5,1,1,228,[0.99999997 0.99999995],7.246200816013173e-16
40,0.5,1,1,331,[1. 1.],2.1120503619006633e-19
40,0.5,1,1,521,[1. 1.],3.0814879110195774e-31
40,0.5,1,1,256,[1. 1.],6.095790879316439e-22
40,0.5,1,1,244,[1.00000001 1.00000002],2.1564025489858724e-16
40,0.5,1,1,541,[1.00000007 1.00000014],5.963855868819251e-15
40,0.5,1,1,259,[0.99999987 0.99999974],1.9832716199150948e-14
40,0.5,1,1,332,[1.00000004 1.00000008],1.7154686793436692e-15
40,0.5,1,1,270,[1. 1.],1.0361165862766347e-24
40,0.5,1,1,213,[0.99999651 0.99999296],1.260537726667542e-11
40,0.5,1,1,544,[0.99999989 0.99999978],1.1680113805499312e-14
40,0.5,1,1,221,[0.99999958 0.99999918],2.0513944805855117e-13
40,0.5,1,1,294,[1. 1.],9.77289173995937e-19
40,0.5,1,1,401,[1.00000709 1.00001413],5.070219057010826e-11
40,0.5,1,1,512,[1.00000025 1.00000041],7.647691631008997e-13
40,0.5,1,1,207,[0.99999997 0.99999994],1.0802786427546839e-15
40,0.5,1,1,284,[1. 1.],3.5404089752270654e-26
40,0.5,1,1,209,[1. 1.],2.473677784558741e-18
40,0.5,1,1,219,[1.00000033 1.00000065],1.1154528209518871e-13
40,0.5,1,1,182,[0.99999984 0.99999968],2.5524911086902862e-14
40,0.5,1,1,406,[1. 1.],0.0
40,0.5,1,1,306,[1. 1.],4.4975165422192515e-19
40,0.5,1,1,197,[0.9999995  0.99999902],2.8236610638190967e-13
40,0.5,1,1,212,[1.00000316 1.00000631],9.97144528534057e-12
40,0.5,1,1,354,[1. 1.],7.958960653813859e-26
40,0.5,1,1,496,[1. 1.],4.930380657631324e-32
40,0.5,1,1,442,[1. 1.],8.302761027451149e-27
40,0.5,1,1,224,[1. 1.],4.0971643934480303e-19
40,0.5,1,1,218,[1. 1.],9.085546353718178e-18
40,0.5,1,1,212,[0.9999999 0.9999998],1.2645658161782536e-14
40,0.5,1,1,250,[0.99999966 0.99999931],1.2113937607511002e-13
40,0.5,1,1,305,[1. 1.],3.9670335809367394e-27
40,0.5,1,1,207,[1. 1.],2.0067512528280666e-18
40,0.5,1,1,999,[1.04807804 1.09783876],0.0023510400962039775
40,0.5,1,1,560,[1. 1.],0.0
40,0.5,1,1,559,[1. 1.],0.0
40,0.5,1,1,182,[0.99999999 0.99999998],6.59356500141212e-17
40,0.5,1,1,218,[0.99999995 0.9999999 ],2.8015335226693414e-15
40,0.5,1,1,154,[1.00000011 1.00000022],1.196092574573042e-14
40,0.5,1,1,416,[1. 1.],1.1369457796497833e-28
40,0.5,1,1,239,[1. 1.],5.585672231715652e-20
40,0.5,1,1,836,[1. 1.],1.713839540729008e-22
40,0.5,1,1,187,[0.99999997 0.99999994],2.9553127011011688e-15
40,0.5,1,1,549,[1. 1.],7.818621627866591e-19
40,0.5,1,1,252,[1. 1.],7.344362189055723e-21
40,0.5,1,1,250,[0.99999982 0.99999964],3.4977436941274866e-14
40,0.5,1,1,244,[1.0000008  1.00000162],6.668031345899333e-13
40,0.5,1,1,226,[0.99999934 0.99999868],4.428456103483048e-13
40,0.5,1,1,341,[1. 1.],5.226696535154966e-28
40,0.5,1,1,175,[1.00000001 1.00000003],2.4210314103918304e-16
40,0.5,1,1,242,[1.00000001 1.00000002],1.438227503330931e-16
40,0.5,1,1,226,[0.99999998 0.99999996],4.1279451712548574e-16
40,0.5,1,1,233,[0.99999999 0.99999997],2.116306338669062e-16
40,0.5,1,1,302,[1.00000003 1.00000007],1.097787266209084e-15
40,0.5,1,1,254,[1. 1.],1.3899001971713234e-20
40,0.5,1,1,816,[1. 1.],0.0
40,0.5,1,1,322,[1. 1.],1.5113301372279318e-20
40,0.5,1,1,256,[0.99999997 0.99999994],7.841623093568451e-16
40,0.5,1,1,206,[1. 1.],7.341210729791805e-19
40,0.5,1,1,287,[1.         0.99999999],5.953968495441518e-17
40,0.5,1,1,422,[1.00000091 1.00000182],8.290054696742595e-13
40,0.5,1,1,276,[1.00000001 1.00000002],8.146914394748869e-17
40,0.5,1,1,260,[0.99999995 0.9999999 ],2.2651062496351172e-15
40,0.5,1,1,881,[1. 1.],9.985795768740178e-27
40,0.5,1,1,162,[1. 1.],2.775403172319089e-21
40,0.5,1,1,239,[1. 1.],7.33135496747035e-23
40,0.5,1,1,349,[1. 1.],9.139826256576751e-20
40,0.5,1,1,477,[1. 1.],1.088538293356378e-18
40,0.5,1,1,187,[0.9999974  0.99999462],9.863799136664388e-12
40,0.5,1,1,200,[1. 1.],6.033453008855901e-24
40,0.5,1,1,524,[1. 1.],1.4525999043375785e-22
40,0.5,1,1,572,[1. 1.],3.167593524291561e-18
40,0.5,1,1,184,[1.00000001 1.00000002],8.940388599986638e-17
40,0.5,1,1,274,[1.00000633 1.0000127 ],4.0194463100238506e-11
40,0.5,1,1,274,[1. 1.],1.3161907494355456e-18
40,0.5,1,1,301,[1.00000982 1.00001958],9.675143732361274e-11
40,0.5,1,1,376,[0.99999999 0.99999998],7.100152867428218e-17
40,0.5,1,1,230,[1. 1.],1.2228938989987854e-18
40,0.5,1,1,379,[1. 1.],5.250378033033479e-22
40,0.5,1,1,506,[1. 1.],1.2682583609478402e-22
40,0.5,1,1,430,[0.99999973 0.99999949],1.0773521535199351e-13
40,0.5,1,1,216,[1.         0.99999999],9.897932294780794e-18
40,0.5,1,1,785,[1. 1.],2.182186479067624e-28
40,0.5,1,1,237,[1. 1.],8.345163786383952e-21
40,0.5,1,1,247,[1. 1.],4.0955892804494126e-20
40,0.5,1,1,372,[1. 1.],6.532557156135199e-27
40,0.5,1,1,434,[1. 1.],3.97176101362219e-20
40,0.5,1,1,338,[1. 1.],6.267230000561873e-19
40,0.5,1,1,489,[1.00000012 1.00000024],1.4168602027210033e-14
40,0.5,1,1,219,[0.9999999 0.9999998],1.0914363287999945e-14
40,0.5,1,1,307,[0.99999999 0.99999999],3.421840412857586e-17
40,0.5,1,1,240,[1.         1.00000001],1.0888289085184462e-17
40,0.5,1,1,187,[1. 1.],3.3109931770833256e-18
40,0.5,1,1,983,[1. 1.],9.523757984121491e-23
40,0.5,1,1,504,[1. 1.],3.4066021419644445e-26
40,0.5,1,1,175,[0.99999967 0.99999934],1.2141211830504428e-13
40,0.5,1,1,520,[1.00000002 1.00000004],4.1092557069693555e-16
40,0.5,1,1,191,[1. 1.],3.5714475155781417e-20
40,0.5,1,1,449,[1. 1.],6.481572073607637e-22
40,0.5,1,1,487,[1. 1.],7.473384193646778e-21
40,0.5,1,1,657,[1. 1.],9.98402083170343e-31
40,0.5,1,1,405,[1. 1.],1.6191370079661267e-28
40,0.5,1,1,168,[1. 1.],2.2297725500873035e-17
40,0.5,1,1,256,[1. 1.],2.652576330043826e-20
40,0.5,1,1,372,[1.00000001 1.00000001],5.698110596485931e-17
